appid,review,word_count,voted_up,votes_up,votes_funny,timestamp_created,author_playtime_forever,name,price,release_date
570,"wow just wow,",3,True,0,0,1762854960,327080,Dota 2,0,
570,dota 2 is what you need to play to be happy with friends  and more you playit  more you likeit .,21,False,0,0,1762854739,188922,Dota 2,0,
570,joe gay,2,True,0,0,1762854593,2053,Dota 2,0,
570,wp nice,2,True,0,0,1762854540,1435,Dota 2,0,
570,s,1,False,0,0,1762853566,1252063,Dota 2,0,
570,"If you want to die because of stress, I highly recommend this f**k**g game!!!",14,True,0,0,1762853227,108652,Dota 2,0,
570,Хуйня,1,True,0,0,1762851046,72364,Dota 2,0,
570,I am playing this game from my child hood,9,True,0,0,1762850550,45147,Dota 2,0,
570,waste of time,3,False,0,0,1762850404,161160,Dota 2,0,
570,its very boring,3,False,0,0,1762849605,287,Dota 2,0,
570,дети играю,2,True,1,0,1762849587,1841,Dota 2,0,
570,mn,1,True,0,0,1762848133,335239,Dota 2,0,
570,best game ever.,3,True,0,0,1762847963,555175,Dota 2,0,
570,"I just Uninstall this shit 5 days ago, and NOW I reinstall this shit again because of collab with Monster Hunter

fck u Valve",24,True,0,0,1762847962,25560,Dota 2,0,
570,Q2 2013... what a ride,5,True,0,0,1762847893,220164,Dota 2,0,
570,yes sir,2,True,0,0,1762847773,82388,Dota 2,0,
570,good,1,True,0,0,1762847645,360565,Dota 2,0,
570,"MINIMUM:
OS *: Windows 7 or newer
PROCESSOR: Dual core from Intel or AMD at 2.8 GHz
MEMORY: 4 GB RAM
GRAPHICS: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600
DIRECTX: Version 11
NETWORK: Broadband Internet connection
STORAGE: 60 GB available space
SOUND CARD: DirectX Compatible
* Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.
 and my CPU specification already enough, yet the game always crash.",71,False,0,0,1762847526,233360,Dota 2,0,
570,bad,1,True,0,0,1762847506,339368,Dota 2,0,
570,It is the best e-sports game. It is Dota.,9,True,0,0,1762846363,55461,Dota 2,0,
570,Nice game,2,True,0,0,1762845674,241648,Dota 2,0,
570,perfect!,1,True,0,0,1762845351,185652,Dota 2,0,
570,"подарите мне гироскутер с блютузом, я умоляю вас",8,True,1,1,1762845016,2954,Dota 2,0,
570,"Developers don't take the community seriously with an ""event"" that is just a monster hunter ad and excuse to not add real changes.",23,False,2,0,1762843908,157335,Dota 2,0,
570,Имба игра лишился девственности с пуджом,6,True,0,0,1762841730,582,Dota 2,0,
570,monster hunter bad,3,False,1,2,1762840960,536310,Dota 2,0,
570,"Stress reliever? Maybe yes, maybe no. But for me since dota1 days I'm a big fan of Dota.",18,True,0,0,1762840499,31517,Dota 2,0,
570,(Y),1,True,0,0,1762839952,389,Dota 2,0,
570,good,1,True,1,0,1762838687,4153,Dota 2,0,
570,Time you enjoy is not a time wasted. I wasted 2150.2 hours.,12,True,3,0,1762838402,129019,Dota 2,0,
570,FORCECLOSE NEW UPDATE,3,False,2,0,1762837903,304225,Dota 2,0,
570,childhood game,2,True,0,0,1762837198,11435,Dota 2,0,
570,11/10 would love to suffer again!,6,True,0,0,1762837100,122426,Dota 2,0,
570,"don't play this game if your mental is not strong enough, and once you're in , you can't get rid this anymore",22,False,0,0,1762836933,82510,Dota 2,0,
570,People,1,True,0,0,1762836320,121885,Dota 2,0,
570,Very good,2,True,0,0,1762835981,306143,Dota 2,0,
570,"this is the best game i have ever played. It has everything. Strategy, Action, Teamwork, toxicity, Lore etc",18,True,0,0,1762835481,520023,Dota 2,0,
570,One of the best game,5,True,0,0,1762835331,59947,Dota 2,0,
570,good game,2,True,0,0,1762835100,114349,Dota 2,0,
570,"They decided to turn it into fortine

F (& S)",10,False,0,0,1762834943,272822,Dota 2,0,
570,its fun,2,True,0,0,1762834904,25575,Dota 2,0,
570,dota 2 still one the best game ever made,9,True,1,0,1762834323,41319,Dota 2,0,
570,we hunting today,3,True,0,0,1762834089,38537,Dota 2,0,
570,Игра гавно,2,False,2,1,1762833917,86096,Dota 2,0,
570,perfect game,2,True,0,0,1762832938,2608,Dota 2,0,
570,fun tu play,3,True,0,0,1762832420,361952,Dota 2,0,
570,I love Dota so much,5,True,0,0,1762831735,91810,Dota 2,0,
570,Many new players have been deterred by the complex DOTA mechanics in this Monster Hunter collaboration. Please add a mechanism that allows new players to easily obtain crafting materials! I want to participate in this event with my new friends!,40,False,0,0,1762831705,415423,Dota 2,0,
570,"Игра через соло кач, делится на 2 аудитории, спушишь выиграешь или убьешь много врагов выиграешь, а на лоу авераге пушить никто не умеет.",23,True,1,0,1762830846,42744,Dota 2,0,
570,This game is highly recommended for any age.,8,True,0,0,1762830673,333725,Dota 2,0,
570,i loive dota old but gold,6,True,0,0,1762830507,76363,Dota 2,0,
570,It's alright,2,True,0,0,1762830410,75607,Dota 2,0,
570,"Very fun game. Enjoying all the time I spent playing. Woohoo!
Nice and friendly community pub players!!",17,True,0,0,1762830023,322462,Dota 2,0,
570,"Almost a decade since I uninstalled this game
and here I'm back installing it again just to see what this Dota 2 X Monster Hunter all about",27,True,0,0,1762829954,45947,Dota 2,0,
570,this game is best game ever you can play trust me,11,True,0,1,1762829728,196592,Dota 2,0,
570,"Estoy cansado de que me emparejen con gente basura, por favor mejoren",12,False,0,0,1762829396,441552,Dota 2,0,
570,GGWP,1,True,1,0,1762829151,300554,Dota 2,0,
570,"Actualizaciones (de fondo) que matan la jugabilidad, tener poco tiempo y pasartelo actualizando y con bugs.. pse",17,False,0,0,1762828804,98490,Dota 2,0,
570,it changes how you see a game,7,True,0,0,1762826952,131090,Dota 2,0,
570,"Simply Avoid and Dont PLay, its souless concept, nothing like Dota 1 and League former season 2 days.",18,False,0,0,1762826880,45,Dota 2,0,
570,If you want to waste time in your life this is the game for it. Would recommend to people who want to rot their lives out,26,False,1,0,1762826844,6939,Dota 2,0,
570,"Stupid updates, breaks mini games",5,False,0,0,1762826417,310058,Dota 2,0,
570,nice,1,True,0,0,1762826110,62803,Dota 2,0,
570,im leaarn many languange like pinoy and malay,8,True,0,0,1762825553,196673,Dota 2,0,
570,fucking game,2,False,0,0,1762825093,105776,Dota 2,0,
570,dias canel singao,3,True,0,0,1762823650,6307,Dota 2,0,
570,GG,1,False,0,0,1762823380,46041,Dota 2,0,
570,"this game is my life. even if dont play it anymore, I think about it everyday. Just like my ex girlfriends... but more fun",24,True,0,1,1762823143,265775,Dota 2,0,
570,Good community,2,True,0,0,1762823090,251035,Dota 2,0,
